,model,fit,predict,file
LinearRegression,LinearRegression,0.0,0.0,./result\result10001.txt
Ridge,Ridge,0.0,0.0,./result\result10001.txt
Lasso,Lasso,4.158720254898071,0.0,./result\result10001.txt
BayesianRidge,BayesianRidge,0.015559196472167,0.0,./result\result10001.txt
DecisionTreeRegressor,DecisionTreeRegressor,0.047287464141845,0.0,./result\result10001.txt
RandomForestRegressor,RandomForestRegressor,3.832243919372558,0.094188213348388,./result\result10001.txt
GradientBoostingRegressor,GradientBoostingRegressor,2.200729370117187,0.015580415725708001,./result\result10001.txt
KNeighborsRegressor,KNeighborsRegressor,0.015633583068847,0.17293977737426702,./result\result10001.txt
SVR,SVR,7.754867076873779,16.470685720443726,./result\result10001.txt
LGBMRegressor,LGBMRegressor,0.188361883163452,0.031247854232788003,./result\result10001.txt
XGBRegressor,XGBRegressor,0.580676317214965,0.031267642974853,./result\result10001.txt
CatBoostRegressor,CatBoostRegressor,5.885385513305664,0.015643835067749003,./result\result10001.txt
KMeans,KMeans,0.20406198501586903,0.0,./result\result10001.txt
GaussianMixture,GaussianMixture,0.13101506233215302,0.0,./result\result10001.txt
DBSCAN,DBSCAN,0.313968420028686,,./result\result10001.txt
PCA,PCA,0.009012699127197,,./result\result10001.txt
NMF,NMF,0.062988519668579,,./result\result10001.txt
NearestNeighbors,NearestNeighbors,0.031304121017456,,./result\result10001.txt
LinearRegression,LinearRegression,0.0,0.0,./result\result300.txt
Ridge,Ridge,0.0,0.0,./result\result300.txt
Lasso,Lasso,0.004605770111083001,0.0,./result\result300.txt
BayesianRidge,BayesianRidge,0.0,0.0,./result\result300.txt
DecisionTreeRegressor,DecisionTreeRegressor,0.015637636184692,0.0,./result\result300.txt
RandomForestRegressor,RandomForestRegressor,0.30460333824157704,0.015587568283081001,./result\result300.txt
GradientBoostingRegressor,GradientBoostingRegressor,0.11592984199523901,0.0,./result\result300.txt
KNeighborsRegressor,KNeighborsRegressor,0.0,0.0,./result\result300.txt
SVR,SVR,0.015579223632812,0.015625238418579,./result\result300.txt
LGBMRegressor,LGBMRegressor,0.024659872055053003,0.0,./result\result300.txt
XGBRegressor,XGBRegressor,0.12085413932800201,0.005009174346923001,./result\result300.txt
CatBoostRegressor,CatBoostRegressor,2.023528814315796,0.006014823913574,./result\result300.txt
KMeans,KMeans,0.133351802825927,0.0,./result\result300.txt
GaussianMixture,GaussianMixture,0.09376358985900801,0.0,./result\result300.txt
DBSCAN,DBSCAN,0.0,,./result\result300.txt
PCA,PCA,0.0,,./result\result300.txt
NMF,NMF,0.010012626647949,,./result\result300.txt
NearestNeighbors,NearestNeighbors,0.0,,./result\result300.txt
TSNE,TSNE,1.419337511062622,,./result\result300.txt
GaussianProcessRegressor,GaussianProcessRegressor,0.47853970527648904,0.0,./result\result300.txt
LinearRegression,LinearRegression,0.015581369400024001,0.0,./result\result3000.txt
Ridge,Ridge,0.0,0.0,./result\result3000.txt
Lasso,Lasso,0.031281471252441004,0.0,./result\result3000.txt
BayesianRidge,BayesianRidge,0.015570163726806,0.0,./result\result3000.txt
DecisionTreeRegressor,DecisionTreeRegressor,0.012557983398437,0.015633106231689002,./result\result3000.txt
RandomForestRegressor,RandomForestRegressor,2.129799127578735,0.055403232574462,./result\result3000.txt
GradientBoostingRegressor,GradientBoostingRegressor,0.576628446578979,0.003587245941162,./result\result3000.txt
KNeighborsRegressor,KNeighborsRegressor,0.0,0.031200647354125,./result\result3000.txt
SVR,SVR,0.5280187129974361,1.064917564392089,./result\result3000.txt
LGBMRegressor,LGBMRegressor,0.07848334312438901,0.0,./result\result3000.txt
XGBRegressor,XGBRegressor,0.18840456008911102,0.0,./result\result3000.txt
CatBoostRegressor,CatBoostRegressor,3.152233123779297,0.0,./result\result3000.txt
KMeans,KMeans,0.125536918640136,0.015625238418579,./result\result3000.txt
GaussianMixture,GaussianMixture,0.10027503967285101,0.0,./result\result3000.txt
DBSCAN,DBSCAN,0.065365552902221,,./result\result3000.txt
PCA,PCA,0.0,,./result\result3000.txt
NMF,NMF,0.0075111389160150005,,./result\result3000.txt
NearestNeighbors,NearestNeighbors,0.0,,./result\result3000.txt
TSNE,TSNE,16.666199684143066,,./result\result3000.txt
GaussianProcessRegressor,GaussianProcessRegressor,131.7409586906433,0.47141075134277305,./result\result3000.txt
LinearRegression,LinearRegression,0.01563549041748,0.015606880187988002,./result\result30000.txt
Ridge,Ridge,0.015637636184692,0.0,./result\result30000.txt
Lasso,Lasso,4.613471508026123,0.0,./result\result30000.txt
